Temperature - (Celsius), Year, Statistics, Country, ISO3
-25.385, 1901, Jan Average, Canada, CAN
-23.719, 1901, Feb Average, Canada, CAN
-18.934, 1901, Mar Average, Canada, CAN
-9.9643, 1901, Apr Average, Canada, CAN
0.02289, 1901, May Average, Canada, CAN
6.37951, 1901, Jun Average, Canada, CAN
10.8978, 1901, Jul Average, Canada, CAN
9.53889, 1901, Aug Average, Canada, CAN
3.31492, 1901, Sep Average, Canada, CAN
-3.3429, 1901, Oct Average, Canada, CAN
-15.185, 1901, Nov Average, Canada, CAN
-20.106, 1901, Dec Average, Canada, CAN
-23.675, 1902, Jan Average, Canada, CAN
-21.49, 1902, Feb Average, Canada, CAN
-19.807, 1902, Mar Average, Canada, CAN
-10.742, 1902, Apr Average, Canada, CAN
-0.8764, 1902, May Average, Canada, CAN
5.53744, 1902, Jun Average, Canada, CAN
10.7308, 1902, Jul Average, Canada, CAN
9.22725, 1902, Aug Average, Canada, CAN
3.17026, 1902, Sep Average, Canada, CAN
-3.5717, 1902, Oct Average, Canada, CAN
-15.464, 1902, Nov Average, Canada, CAN
-23.227, 1902, Dec Average, Canada, CAN
-24.324, 1903, Jan Average, Canada, CAN
-23.16, 1903, Feb Average, Canada, CAN
-20.038, 1903, Mar Average, Canada, CAN
-11.211, 1903, Apr Average, Canada, CAN
-1.694, 1903, May Average, Canada, CAN
7.09628, 1903, Jun Average, Canada, CAN
10.606, 1903, Jul Average, Canada, CAN
8.94099, 1903, Aug Average, Canada, CAN
2.53082, 1903, Sep Average, Canada, CAN
-4.4983, 1903, Oct Average, Canada, CAN
-14.599, 1903, Nov Average, Canada, CAN
-20.194, 1903, Dec Average, Canada, CAN
-25.953, 1904, Jan Average, Canada, CAN
-28.832, 1904, Feb Average, Canada, CAN
-21.466, 1904, Mar Average, Canada, CAN
-9.1589, 1904, Apr Average, Canada, CAN
-0.4453, 1904, May Average, Canada, CAN
6.5527, 1904, Jun Average, Canada, CAN
10.6491, 1904, Jul Average, Canada, CAN
8.9177, 1904, Aug Average, Canada, CAN
2.27902, 1904, Sep Average, Canada, CAN
-3.9277, 1904, Oct Average, Canada, CAN
-12.273, 1904, Nov Average, Canada, CAN
-20.984, 1904, Dec Average, Canada, CAN
-25.506, 1905, Jan Average, Canada, CAN
-23.658, 1905, Feb Average, Canada, CAN
-17.369, 1905, Mar Average, Canada, CAN
-8.8631, 1905, Apr Average, Canada, CAN
0.07834, 1905, May Average, Canada, CAN
6.6655, 1905, Jun Average, Canada, CAN
11.0579, 1905, Jul Average, Canada, CAN
9.59425, 1905, Aug Average, Canada, CAN
3.34147, 1905, Sep Average, Canada, CAN
-5.344, 1905, Oct Average, Canada, CAN
-12.873, 1905, Nov Average, Canada, CAN
-20.526, 1905, Dec Average, Canada, CAN
-25.238, 1906, Jan Average, Canada, CAN
-24.673, 1906, Feb Average, Canada, CAN
-19.233, 1906, Mar Average, Canada, CAN
-8.763, 1906, Apr Average, Canada, CAN
-0.4272, 1906, May Average, Canada, CAN
7.28629, 1906, Jun Average, Canada, CAN
11.8487, 1906, Jul Average, Canada, CAN
9.32755, 1906, Aug Average, Canada, CAN
3.98207, 1906, Sep Average, Canada, CAN
-3.6013, 1906, Oct Average, Canada, CAN
-14.182, 1906, Nov Average, Canada, CAN
-23.736, 1906, Dec Average, Canada, CAN
-28.388, 1907, Jan Average, Canada, CAN
-25.956, 1907, Feb Average, Canada, CAN
-20.65, 1907, Mar Average, Canada, CAN
-13.092, 1907, Apr Average, Canada, CAN
-2.0545, 1907, May Average, Canada, CAN
6.28127, 1907, Jun Average, Canada, CAN
10.3721, 1907, Jul Average, Canada, CAN
8.01909, 1907, Aug Average, Canada, CAN
2.68142, 1907, Sep Average, Canada, CAN
-4.1062, 1907, Oct Average, Canada, CAN
-13.626, 1907, Nov Average, Canada, CAN
-19.773, 1907, Dec Average, Canada, CAN
-23.367, 1908, Jan Average, Canada, CAN
-23.408, 1908, Feb Average, Canada, CAN
-21.744, 1908, Mar Average, Canada, CAN
-10.945, 1908, Apr Average, Canada, CAN
